message_id,date,text,media
24221,2025-06-05 13:41:40+00:00,Compro TSLA en 315.14$,
24189,2025-06-04 14:15:19+00:00,"Compro TSLA de nuevo en 327,81$ buscando esa configuracíón de doble suelo en mínimos de día",
24179,2025-06-04 14:09:37+00:00,"Compro TSLA en 328,1$",
24097,2025-06-02 14:46:01+00:00,Compro TSLA en 335.63$ buscando un doble suelo en mínimos,
24085,2025-06-02 14:02:53+00:00,Compro TSLA en 336.21$,
24010,2025-05-29 14:14:33+00:00,"Compro TSLA en 359,91$",
23790,2025-05-21 14:39:00+00:00,Compro TSLA en 341.89$,
23578,2025-05-15 14:36:41+00:00,"Compro TSLA en 335,97$",
23562,2025-05-15 13:52:36+00:00,"Compro TSLA en 337,11$",
23287,2025-05-07 14:59:17+00:00,"Compro TSLA en 273,9$",
23210,2025-05-06 13:56:13+00:00,Compro TSLA en 273.75$,
23177,2025-05-05 14:37:19+00:00,"Compro TSLA en 274,82$",
23166,2025-05-05 14:19:09+00:00,Compro TSLA en 278.42$,
23158,2025-05-05 13:57:34+00:00,Compro TSLA en 278.92$,
23150,2025-05-05 13:43:51+00:00,Compro TSLA en 279.65$,
23022,2025-04-30 14:00:45+00:00,Compro TSLA en 271.1$,
23010,2025-04-30 13:41:57+00:00,Compro TSLA en 273.72$,
22914,2025-04-28 15:12:36+00:00,"Compro TSLA en 279,4$",
22733,2025-04-21 14:09:47+00:00,"Compro TSLA en 224,03$",
22729,2025-04-21 13:40:57+00:00,"Compro TSLA en 228,64$",
22635,2025-04-16 14:01:06+00:00,Compro TSLA en 247.49$,
22577,2025-04-14 15:30:58+00:00,Compro TSLA en 248.9$,
22521,2025-04-11 14:24:53+00:00,"Compro TSLA en 245,36$",
22487,2025-04-10 15:34:52+00:00,"Compro TSLA en 250,06$",
22468,2025-04-10 14:02:40+00:00,"Compro TSLA en 253,84$",
22346,2025-04-07 13:44:49+00:00,Compro TSLA en 214.79$,
22342,2025-04-07 13:39:44+00:00,Compro TSLA en 218.03$,
22301,2025-04-04 14:19:07+00:00,"Compro TSLA en 245,93$",
22295,2025-04-04 13:46:00+00:00,"Compro TSLA en 248,82$",
22267,2025-04-03 14:51:32+00:00,Compro TSLA en 262.04$,
22259,2025-04-03 14:41:50+00:00,"Compro TSLA en 265,11$",
22195,2025-04-02 13:33:57+00:00,Compro TSLA en 251.71$,
22090,2025-03-28 14:30:58+00:00,Compro TSLA en 264.72$ interesante el volumen en esta zona,
22080,2025-03-28 14:09:56+00:00,Compro TSLA en 268.46$,
22002,2025-03-26 14:23:02+00:00,Compro TSLA en 272.92$,
21998,2025-03-26 14:13:34+00:00,Compro TSLA en 276.34$,
21792,2025-03-18 13:46:15+00:00,Compro TSLA en 223.7$,
21768,2025-03-17 15:45:16+00:00,Compro TSLA en 233.79$,
21670,2025-03-13 13:58:47+00:00,Compro TSLA en 235.91$,
21665,2025-03-13 13:50:06+00:00,Compro TSLA en 239.07$,
21587,2025-03-10 14:05:53+00:00,Compro TSLA en 240.88$,
21580,2025-03-10 13:50:01+00:00,Compro TSLA en 245.79$,
21451,2025-03-04 15:04:11+00:00,Compro TSLA en 264$,
21209,2025-02-25 14:55:04+00:00,Compro TSLA en 312.88$,
21200,2025-02-25 14:39:53+00:00,Compro TSLA en 319.36$,
21174,2025-02-24 15:08:27+00:00,"Compro TSLA en 325.22$, importante este soporte",
21170,2025-02-24 15:00:27+00:00,Compro TSLA en 329.26$,
21137,2025-02-21 15:35:14+00:00,"Compro TSLA en 346,31$",
21112,2025-02-20 15:55:52+00:00,"Compro TSLA en 350,16$",
21096,2025-02-20 14:55:58+00:00,"Compro TSLA en 351,52$",
20913,2025-02-11 16:20:24+00:00,Compro TSLA en 336.35$,
20908,2025-02-11 16:01:29+00:00,Compro TSLA en 339.9$,
20732,2025-02-05 15:20:32+00:00,Compro TSLA en 381.46$,
20645,2025-02-03 15:05:19+00:00,Compro TSLA en 378.23$,
20633,2025-02-03 14:53:57+00:00,Compro TSLA en 380.01$,
20447,2025-01-27 15:20:50+00:00,"Compro TSLA en 398,03$",
20360,2025-01-23 15:04:50+00:00,"Compro TSLA en 411,42$",
20299,2025-01-21 14:42:49+00:00,"Compro TSLA en 411,59$",
20241,2025-01-16 15:02:34+00:00,Compro TSLA en 414.87$,
20226,2025-01-16 14:46:39+00:00,"Compro TSLA en 416,15$",
20034,2025-01-07 15:12:08+00:00,"Compro TSLA en 397,98$",
19970,2025-01-02 15:32:48+00:00,"Compro TSLA en 378,24$",
19954,2025-01-02 14:37:53+00:00,"Compro TSLA en 375,54$",
19919,2024-12-30 15:02:06+00:00,"Compro TSLA en 417,96$",
19892,2024-12-27 15:07:21+00:00,"Compro TSLA EN 434,48$",
19878,2024-12-27 14:37:41+00:00,"Compro TSLA en 443,79$",
19866,2024-12-26 14:56:02+00:00,Compro TSLA en 452.74$,
19522,2024-12-09 15:37:00+00:00,"Compro TSLA en 384,89$",
19392,2024-12-03 15:56:15+00:00,"Compro TSLA 348,58$",
19317,2024-11-27 15:33:35+00:00,Compro TSLA en 328.49$,
19169,2024-11-20 15:14:32+00:00,"Compro TSLA en 337,36$",
19152,2024-11-20 14:42:55+00:00,"Compro TSLA en 339,59$",
