message_id,date,text,media
26982,2025-08-29 14:08:22+00:00,"Compro NVDA en 174,07$ buscando el doble suelo en mínimos",
26954,2025-08-29 13:41:57+00:00,"Compro NVDA en 174,77$",
26918,2025-08-28 14:00:01+00:00,"Compro NVDA en 176,87$",
26902,2025-08-28 13:37:57+00:00,"Compro NVDA en 179,87$",
26853,2025-08-27 13:48:03+00:00,Compro NVDA en 179.51$,
26808,2025-08-26 13:48:10+00:00,"Compro NVDA en 178,91$ buscando un testeo en la zona de 180$",
26630,2025-08-20 14:10:11+00:00,Compro NVDA en 169.03$,
26612,2025-08-20 13:42:39+00:00,Compro NVDA en 173.52$,
26563,2025-08-19 14:32:31+00:00,Compro NVDA en 178.43$ buscando un testeo de los antiguos mínimos de día,
26539,2025-08-19 13:49:16+00:00,Compro NVDA en 179.80$,
26522,2025-08-19 13:37:04+00:00,Compro NVDA en 180.93$,
26486,2025-08-18 14:59:29+00:00,Compro NVDA en 181.03$,
26428,2025-08-15 13:40:18+00:00,"Compro NVDA en 180,33$",
26366,2025-08-13 14:17:02+00:00,Compro NVDA en 181.13$,
26299,2025-08-12 13:52:45+00:00,Compro NVDA en 180.63$,
26247,2025-08-11 13:35:31+00:00,Compro NVDA en 180.41$,
26078,2025-08-05 14:24:08+00:00,Compro NVDA en 177.98$,
25632,2025-07-23 14:13:42+00:00,"Compro NVDA en 168,15$",
25583,2025-07-22 13:55:54+00:00,"Compro NVDA en 164,95$",
25569,2025-07-22 13:35:21+00:00,"Compro NVDA en 168,65$",
25480,2025-07-18 14:24:36+00:00,"Compro NVDA en 172,23$ buscando un doble suelo en mínimos de día",
25230,2025-07-10 14:07:59+00:00,Compro NVDA en 162.02$,
24531,2025-06-13 14:31:57+00:00,Compro NVDA en 141.15$,
24518,2025-06-13 14:13:20+00:00,Compro NVDA en 142.25$,
24439,2025-06-11 13:49:46+00:00,Compro NVDA en 143.23$,
24048,2025-05-30 13:53:59+00:00,"Compro NVDA en 135,98$",
24042,2025-05-30 13:41:00+00:00,"Compro NVDA en 137,51$",
23861,2025-05-23 13:51:02+00:00,"Compro NVDA en 129,78$",
23726,2025-05-20 13:51:59+00:00,"Compro NVDA en 132,9$",
